Feature,Mean_Absolute_SHAP
BiGRU_Latent_Dim_122,0.5566463
Static_AGE,0.2666976
gcs_verbal_Std,0.19747676
gcs_motor_Max,0.13324726
BiGRU_Latent_Dim_1,0.12433131
chloride_Mean,0.10442652
gcs_verbal_Max,0.094841875
BiGRU_Latent_Dim_118,0.09300045
lactate_Min,0.088645995
temp_c_Mean,0.08085042
Static_CHARLSON_COMORBIDITY_INDEX,0.07572747
gcs_eye_Mean,0.07329897
Static_BASELINE_SOFA,0.07138024
BiGRU_Latent_Dim_72,0.06826612
gcs_eye_Max,0.06741944
temp_c_Max,0.063599765
hemoglobin_Min,0.06274415
BiGRU_Latent_Dim_113,0.06191327
spo2_Std,0.060433727
aptt_Std,0.059766166
BiGRU_Latent_Dim_46,0.05923046
BiGRU_Latent_Dim_30,0.058720123
neq_Min,0.058345113
BiGRU_Latent_Dim_86,0.053819958
pt_Mean,0.052045748
BiGRU_Latent_Dim_34,0.051559977
creatinine_Std,0.050268114
hemoglobin_Max,0.048881605
BiGRU_Latent_Dim_102,0.04498426
glucose_Max,0.043099787
BiGRU_Latent_Dim_52,0.04214816
chloride_Max,0.041943505
bun_Max,0.04021793
neq_Max,0.040064786
BiGRU_Latent_Dim_125,0.039956313
BiGRU_Latent_Dim_111,0.038748372
aptt_Mean,0.038669802
BiGRU_Latent_Dim_103,0.03803937
BiGRU_Latent_Dim_62,0.037919033
neq_Std,0.037901405
bun_Mean,0.03718267
chloride_Std,0.035377897
BiGRU_Latent_Dim_117,0.035357457
bilirubin_Min,0.03484073
lactate_Mean,0.034828436
gcs_motor_Mean,0.034307495
BiGRU_Latent_Dim_66,0.034005158
BiGRU_Latent_Dim_109,0.03335516
creatinine_Min,0.032845963
albumin_Min,0.032160215
BiGRU_Latent_Dim_88,0.032051556
gcs_eye_Std,0.03179844
vent_Min,0.03032707
BiGRU_Latent_Dim_44,0.030299703
BiGRU_Latent_Dim_6,0.029615484
albumin_Max,0.029326223
BiGRU_Latent_Dim_76,0.027666692
BiGRU_Latent_Dim_127,0.027322065
bilirubin_Max,0.02719215
BiGRU_Latent_Dim_41,0.02676521
aptt_Max,0.0265416
BiGRU_Latent_Dim_85,0.026443273
fio2_Min,0.026343906
bun_Std,0.026335374
