Feature,Selection_Frequency_Pct
age,100.0
urine_output_Min,100.0
bun_Std,100.0
pf_ratio_Min,100.0
lactate_Std,100.0
lactate_Min,100.0
creatinine_Min,100.0
bun_Min,100.0
platelets_Min,100.0
hemoglobin_Min,100.0
paco2_Std,100.0
pt_Min,100.0
albumin_Min,100.0
pao2_Std,100.0
chloride_Min,100.0
baseline_sofa,100.0
platelets_Std,100.0
gcs_verbal_Std,100.0
temp_c_Max,100.0
spo2_Std,100.0
gcs_verbal_Max,100.0
gcs_motor_Max,100.0
pao2_Max,100.0
lactate_Max,100.0
creatinine_Max,100.0
bun_Max,100.0
bilirubin_Max,100.0
chloride_Max,100.0
pt_Max,100.0
aptt_Max,100.0
spo2_Min,100.0
fio2_Min,100.0
aptt_Mean,100.0
albumin_Mean,100.0
creatinine_Mean,100.0
fio2_Mean,100.0
bun_Mean,100.0
pao2_Mean,100.0
urine_output_Std,100.0
platelets_Mean,100.0
wbc_Mean,100.0
hemoglobin_Mean,100.0
gcs_motor_Mean,100.0
gcs_eye_Mean,100.0
pt_Mean,100.0
pf_ratio_Mean,100.0
lactate_Mean,100.0
aptt_Std,100.0
neq_Std,100.0
ph_Std,100.0
spo2_Mean,100.0
chloride_Mean,100.0
temp_c_Mean,100.0
urine_output_Mean,100.0
rr_Mean,100.0
charlson_comorbidity_index,100.0
bilirubin_Min,99.0
urine_output_Max,99.0
ph_Max,98.0
gcs_eye_Std,97.0
bilirubin_Mean,97.0
sodium_Mean,96.0
albumin_Max,94.0
chloride_Std,93.0
sodium_Std,93.0
platelets_Max,92.0
paco2_Max,91.0
gcs_eye_Max,91.0
temp_c_Min,90.0
bilirubin_Std,90.0
gcs_motor_Std,83.0
map_Min,81.0
sodium_Min,77.0
gcs_verbal_Mean,76.0
vent_Mean,74.0
hr_Max,72.0
sodium_Max,72.0
neq_Max,66.0
wbc_Min,64.0
potassium_Max,61.0
glucose_Min,59.0
creatinine_Std,54.0
neq_Mean,53.0
fio2_Std,52.0
hemoglobin_Std,51.0
gcs_motor_Min,50.0
albumin_Std,49.0
neq_Min,49.0
vent_Min,47.0
gcs_eye_Min,46.0
pf_ratio_Max,45.0
pf_ratio_Std,43.0
vent_Std,41.0
glucose_Max,41.0
hr_Mean,40.0
rr_Max,39.0
glucose_Mean,39.0
hemoglobin_Max,37.0
wbc_Std,35.0
map_Std,35.0
rr_Min,35.0
pt_Std,32.0
potassium_Std,30.0
wbc_Max,28.999999999999996
paco2_Min,26.0
hr_Std,21.0
map_Mean,21.0
rr_Std,18.0
potassium_Min,16.0
potassium_Mean,12.0
map_Max,9.0
glucose_Std,6.0
ph_Mean,6.0
fio2_Max,6.0
ph_Min,4.0
aptt_Min,4.0
temp_c_Std,3.0
vent_Max,2.0
paco2_Mean,1.0
pao2_Min,1.0
spo2_Max,1.0
hr_Min,0.0
gcs_verbal_Min,0.0
gender,0.0
